price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,yr_built,city,month_sold,house_age,renovation_age,price_per_sqft,basement_category,renovation_status,basement_status
376000.0,3.0,2.0,1340,1384,3.0,0,0,3,1340,2008,Seattle,5,6,6,280.5970149253731,0-500,Never_Renovated,No_Basement
324000.0,3.0,2.25,998,904,2.0,0,0,3,798,2007,Seattle,5,7,7,324.6492985971944,0-500,Never_Renovated,Has_Basement
549900.0,5.0,2.75,3060,7015,1.0,0,0,5,1600,1979,Seattle,5,35,35,179.7058823529412,1000-1500,Never_Renovated,Has_Basement
320000.0,3.0,2.5,2130,6969,2.0,0,0,3,2130,2003,Maple Valley,5,11,11,150.23474178403757,0-500,Never_Renovated,No_Basement
875000.0,4.0,2.0,2520,6000,1.0,0,0,3,1400,1921,Seattle,5,93,7,347.22222222222223,1000-1500,Renovated,Has_Basement
265000.0,4.0,1.0,1940,9533,1.0,0,0,3,1080,1962,Kent,5,52,11,136.5979381443299,500-1000,Renovated,Has_Basement
394950.0,3.0,2.5,1350,1250,3.0,0,0,3,1270,2006,Seattle,5,8,8,292.55555555555554,0-500,Never_Renovated,Has_Basement
842500.0,4.0,2.5,2160,5298,2.5,0,0,4,2160,1902,Seattle,5,112,112,390.0462962962963,0-500,Never_Renovated,No_Basement
368000.0,3.0,2.5,1370,1350,2.0,0,0,3,1010,2007,Seattle,5,7,7,268.6131386861314,0-500,Never_Renovated,Has_Basement
885000.0,4.0,2.5,2830,5000,2.0,0,0,3,2830,1995,Seattle,5,19,19,312.7208480565371,0-500,Never_Renovated,No_Basement
453246.0,3.0,2.5,2010,2287,2.0,0,0,3,1390,2014,Issaquah,5,0,0,225.4955223880597,500-1000,Never_Renovated,Has_Basement
927000.0,4.0,2.75,3300,12090,2.0,0,0,3,3300,1953,Clyde Hill,5,61,61,280.90909090909093,0-500,Never_Renovated,No_Basement
490000.0,2.0,2.5,1230,1391,2.0,0,0,3,870,2004,Seattle,5,10,11,398.3739837398374,0-500,Renovated,Has_Basement
341000.0,3.0,1.5,1720,7119,1.5,0,0,4,1720,1952,Shoreline,5,62,62,198.25581395348837,0-500,Never_Renovated,No_Basement
235000.0,1.0,1.0,810,2451,1.0,0,0,5,810,1941,Seattle,5,73,73,290.12345679012344,0-500,Never_Renovated,No_Basement
1200000.0,3.0,1.75,1560,8078,1.5,1,4,4,1560,1928,Mercer Island,5,86,86,769.2307692307693,0-500,Never_Renovated,No_Basement
255000.0,2.0,1.0,1220,2500,1.0,0,0,3,770,1910,Seattle,5,104,8,209.01639344262296,0-500,Renovated,Has_Basement
876650.0,3.0,3.25,2170,12508,1.5,0,0,5,1650,1928,Mercer Island,5,86,44,403.98617511520735,500-1000,Renovated,Has_Basement
350000.0,2.0,1.0,910,4500,1.5,0,0,4,910,1906,Seattle,5,108,24,384.61538461538464,0-500,Renovated,No_Basement
750000.0,4.0,2.5,2980,4930,2.0,0,0,3,2890,2000,Bellevue,5,14,14,251.6778523489933,0-500,Never_Renovated,Has_Basement
582000.0,4.0,1.75,2120,4650,1.0,0,1,3,1190,1951,Seattle,5,63,20,274.52830188679246,500-1000,Renovated,Has_Basement
1315000.0,4.0,3.5,3460,3997,2.0,0,0,3,2560,2004,Seattle,5,10,11,380.0578034682081,500-1000,Renovated,Has_Basement
372500.0,5.0,3.0,2480,10090,1.0,0,0,3,1300,2004,Seattle,5,10,11,150.2016129032258,1000-1500,Renovated,Has_Basement
410000.0,3.0,2.25,2200,16921,2.0,0,0,3,2200,1987,Maple Valley,5,27,14,186.36363636363637,0-500,Renovated,No_Basement
360000.0,4.0,2.0,1730,5500,1.0,0,0,5,1010,1943,Seattle,5,71,71,208.09248554913296,500-1000,Never_Renovated,Has_Basement
225000.0,3.0,1.0,990,8012,1.0,0,0,4,990,1966,Renton,5,48,48,227.27272727272728,0-500,Never_Renovated,No_Basement
647000.0,4.0,2.5,3040,6887,2.0,0,0,3,3040,1999,Sammamish,5,15,15,212.82894736842104,0-500,Never_Renovated,No_Basement
185000.0,3.0,1.5,1370,8470,1.0,0,0,4,1370,1961,Auburn,5,53,13,135.03649635036496,0-500,Renovated,No_Basement
335000.0,3.0,2.5,1940,4927,2.0,0,0,3,1940,2004,Renton,5,10,11,172.68041237113403,0-500,Renovated,No_Basement
210000.0,3.0,2.5,1040,2643,2.0,0,0,3,720,2004,Seattle,5,10,11,201.92307692307693,0-500,Renovated,Has_Basement
522000.0,4.0,2.25,1800,8623,1.0,0,0,4,1360,1980,Kirkland,5,34,34,290.0,0-500,Never_Renovated,Has_Basement
770000.0,3.0,1.75,1720,5000,1.0,0,0,3,1720,1954,Seattle,5,60,0,447.6744186046512,0-500,Renovated,No_Basement
499950.0,3.0,1.0,980,6380,1.0,0,0,3,760,1941,Seattle,5,73,20,510.1530612244898,0-500,Renovated,Has_Basement
751000.0,4.0,2.5,3110,6142,2.0,0,0,3,3110,2004,Redmond,5,10,11,241.47909967845658,0-500,Renovated,No_Basement
330000.0,5.0,3.0,2100,7715,1.0,0,0,3,1250,2013,Burien,5,1,91,157.14285714285714,500-1000,Renovated,Has_Basement
465000.0,3.0,1.5,2020,11358,1.0,0,0,4,1190,1956,Kirkland,5,58,58,230.1980198019802,500-1000,Never_Renovated,Has_Basement
850000.0,4.0,1.75,2350,11914,1.0,0,0,4,2350,1961,Mercer Island,5,53,13,361.70212765957444,0-500,Renovated,No_Basement
947500.0,4.0,2.25,3290,12329,1.5,0,0,4,3290,1968,Mercer Island,5,46,46,287.9939209726444,0-500,Never_Renovated,No_Basement
302000.0,5.0,2.25,2180,7813,2.0,0,0,3,2180,1986,Maple Valley,5,28,28,138.5321100917431,0-500,Never_Renovated,No_Basement
500000.0,2.0,2.25,1290,1334,3.0,0,0,3,1290,2007,Seattle,5,7,7,387.5968992248062,0-500,Never_Renovated,No_Basement
201000.0,3.0,1.0,1460,9750,1.0,0,0,4,1460,1969,Kent,5,45,45,137.67123287671234,0-500,Never_Renovated,No_Basement
265000.0,2.0,1.0,1290,2828,2.0,0,0,3,1290,2008,Redmond,5,6,6,205.42635658914728,0-500,Never_Renovated,No_Basement
870300.0,4.0,2.5,2350,3150,1.5,0,0,4,1690,1910,Seattle,5,104,104,370.3404255319149,500-1000,Never_Renovated,Has_Basement
339000.0,3.0,1.0,1080,8100,1.0,0,0,4,1080,1955,Shoreline,5,59,5,313.8888888888889,0-500,Renovated,No_Basement
690000.0,4.0,2.5,2670,13463,2.0,0,0,4,2670,1989,Issaquah,5,25,25,258.4269662921348,0-500,Never_Renovated,No_Basement
788000.0,4.0,3.25,3680,5759,2.0,0,0,3,2840,2003,Issaquah,5,11,11,214.1304347826087,500-1000,Never_Renovated,Has_Basement
315275.0,3.0,1.75,1440,8040,1.0,0,0,3,960,1951,Seattle,5,63,20,218.94097222222223,0-500,Renovated,Has_Basement
505000.0,4.0,1.75,1940,4800,1.0,0,0,5,1030,1922,Seattle,5,92,58,260.30927835051546,500-1000,Renovated,Has_Basement
368000.0,3.0,1.0,1280,9898,1.0,0,0,3,1280,1968,Woodinville,5,46,17,287.5,0-500,Renovated,No_Basement
947500.0,3.0,2.75,2980,27144,1.5,1,2,5,2180,1917,Burien,5,97,97,317.9530201342282,500-1000,Never_Renovated,Has_Basement
156000.0,3.0,1.0,970,8580,1.0,0,0,3,970,1959,Federal Way,5,55,25,160.82474226804123,0-500,Renovated,No_Basement
610000.0,4.0,3.0,2110,5000,1.5,0,2,4,1640,1930,Seattle,5,84,84,289.09952606635073,0-500,Never_Renovated,Has_Basement
420000.0,2.0,2.5,1480,1369,3.0,0,0,3,1480,2009,Redmond,5,5,5,283.7837837837838,0-500,Never_Renovated,No_Basement
192000.0,2.0,1.0,700,10540,1.0,0,0,3,700,1953,Normandy Park,5,61,61,274.2857142857143,0-500,Never_Renovated,No_Basement
910000.0,3.0,2.0,2700,6120,1.0,0,0,4,1350,1962,Seattle,5,52,52,337.037037037037,1000-1500,Never_Renovated,Has_Basement
1300000.0,4.0,3.25,2330,9687,2.0,0,3,3,2330,1918,Seattle,5,96,96,557.9399141630902,0-500,Never_Renovated,No_Basement
1346400.0,5.0,1.75,3380,20021,1.0,0,0,4,1690,1963,Clyde Hill,5,51,51,398.3431952662722,1500-2000,Never_Renovated,Has_Basement
840000.0,4.0,2.75,2600,2750,1.5,0,0,3,1620,1936,Seattle,5,78,78,323.0769230769231,500-1000,Never_Renovated,Has_Basement
300000.0,2.0,1.75,1360,8100,1.0,0,0,3,860,1975,Seattle,5,39,39,220.58823529411765,500-1000,Never_Renovated,Has_Basement
505000.0,4.0,2.5,2780,6369,1.0,0,0,3,1590,1978,Kirkland,5,36,36,181.6546762589928,1000-1500,Never_Renovated,Has_Basement
746000.0,3.0,2.5,2620,8950,2.0,0,0,3,2620,1992,Bellevue,5,22,22,284.7328244274809,0-500,Never_Renovated,No_Basement
211000.0,3.0,1.5,1350,7620,1.0,0,0,5,1350,1941,Burien,5,73,73,156.2962962962963,0-500,Never_Renovated,No_Basement
675000.0,4.0,3.0,2400,3340,1.0,0,0,4,1200,1964,Seattle,5,50,50,281.25,1000-1500,Never_Renovated,Has_Basement
734200.0,4.0,2.5,2760,5000,1.5,0,0,5,1680,1928,Seattle,5,86,44,266.0144927536232,1000-1500,Renovated,Has_Basement
1225000.0,4.0,2.25,3070,16028,1.0,0,3,3,1870,1976,Mercer Island,5,38,38,399.0228013029316,1000-1500,Never_Renovated,Has_Basement
630000.0,4.0,2.0,1770,6000,2.0,0,0,5,1770,1911,Seattle,5,103,33,355.93220338983053,0-500,Renovated,No_Basement
1264000.0,4.0,3.75,3490,9170,2.0,0,0,3,3490,2012,Bellevue,5,2,102,362.1776504297994,0-500,Renovated,No_Basement
301500.0,2.0,1.5,830,1333,2.0,0,0,3,830,2005,Seattle,5,9,9,363.2530120481928,0-500,Never_Renovated,No_Basement
369000.0,2.0,2.5,980,895,2.0,0,0,3,670,2009,Seattle,5,5,5,376.53061224489795,0-500,Never_Renovated,Has_Basement
635000.0,3.0,2.5,1570,1433,3.0,0,0,3,1570,2010,Seattle,5,4,4,404.45859872611464,0-500,Never_Renovated,No_Basement
1033888.0,4.0,3.25,3270,5187,2.0,0,0,3,3110,2014,Redmond,5,0,0,316.17370030581037,0-500,Never_Renovated,Has_Basement
383000.0,4.0,2.5,2160,6223,2.0,0,0,3,2160,2010,Maple Valley,5,4,4,177.3148148148148,0-500,Never_Renovated,No_Basement
1050000.0,4.0,3.75,3280,11000,2.0,0,0,3,2320,2008,Kirkland,5,6,6,320.1219512195122,500-1000,Never_Renovated,Has_Basement
455000.0,4.0,2.5,3360,7685,2.0,0,0,3,3360,2001,Renton,5,13,13,135.41666666666666,0-500,Never_Renovated,No_Basement
819900.0,5.0,2.75,3150,7119,2.0,0,0,3,3150,2013,Redmond,5,1,91,260.2857142857143,0-500,Renovated,No_Basement
625000.0,3.0,3.5,1810,1846,2.0,0,0,4,1440,2009,Seattle,5,5,5,345.30386740331494,0-500,Never_Renovated,Has_Basement
651000.0,4.0,2.5,2740,7140,2.0,0,0,3,2740,1993,Sammamish,5,21,21,237.5912408759124,0-500,Never_Renovated,No_Basement
757000.0,3.0,3.25,3190,5283,2.0,0,0,3,3190,2007,Issaquah,5,7,7,237.3040752351097,0-500,Never_Renovated,No_Basement
460000.0,3.0,2.25,2350,10450,1.0,0,0,3,1390,1977,Kenmore,5,37,10,195.74468085106383,500-1000,Renovated,Has_Basement
267345.0,4.0,2.25,2510,8165,1.0,0,0,4,1610,1972,Federal Way,5,42,42,106.51195219123505,500-1000,Never_Renovated,Has_Basement
530000.0,2.0,2.0,1680,4950,1.0,0,0,3,1680,2006,Redmond,5,8,8,315.4761904761905,0-500,Never_Renovated,No_Basement
449500.0,3.0,2.0,1770,6610,1.0,0,0,4,960,1954,Shoreline,5,60,35,253.954802259887,500-1000,Renovated,Has_Basement
289000.0,3.0,1.0,1090,7315,1.0,0,0,5,1090,1981,Renton,5,33,33,265.13761467889907,0-500,Never_Renovated,No_Basement
